timestamp,latitude,longitude,altitude_m,speed_ms,battery_pct,gps_satellites,hdop,signal_dbm,pitch_deg,roll_deg,yaw_deg,wind_speed_ms,temperature_c
2026-05-01 09:00:00,52.399986,-1.500085,121.3,16.83,94.7,15,1.07,-69.4,3.02,0.68,358.67,2.14,12.4
2026-05-01 09:00:01,52.400289,-1.499898,120.6,18.28,95.0,10,1.18,-60.5,0.44,-1.51,355.92,3.35,11.0
2026-05-01 09:00:02,52.400195,-1.499818,121.3,19.09,94.6,11,1.29,-75.6,2.94,-2.49,0.78,5.1,12.0
2026-05-01 09:00:03,52.400383,-1.499882,123.7,12.93,95.2,11,1.0,-71.4,1.89,1.17,2.33,1.66,11.1
2026-05-01 09:00:04,52.400318,-1.49969,122.3,18.19,95.1,11,1.48,-59.8,2.36,2.18,5.16,3.84,12.9
2026-05-01 09:00:05,52.40041,-1.499463,118.4,18.08,94.6,14,1.21,-71.9,2.64,-0.78,0.53,5.73,12.6
2026-05-01 09:00:06,52.400576,-1.499297,122.3,17.63,94.4,14,1.19,-69.4,3.08,1.15,4.58,3.87,11.7
2026-05-01 09:00:07,52.400666,-1.499151,118.3,17.81,95.1,12,1.12,-73.4,1.96,-0.94,2.0,4.78,12.6
2026-05-01 09:00:08,52.400656,-1.499142,118.8,18.27,94.5,13,1.26,-61.8,1.69,-1.4,0.26,6.31,11.2
2026-05-01 09:00:09,52.400514,-1.499007,119.7,16.81,94.9,10,0.95,-55.2,0.5,-1.09,359.36,5.49,10.4
2026-05-01 09:00:10,52.400817,-1.499067,122.8,16.15,94.7,11,1.31,-65.0,3.06,0.96,0.12,5.38,12.0
2026-05-01 09:00:11,52.400986,-1.498866,120.9,19.47,93.9,13,1.21,-63.9,2.25,3.31,358.6,4.01,11.9
2026-05-01 09:00:12,52.401003,-1.498906,119.1,17.69,94.4,15,1.22,-59.4,4.0,0.28,357.5,1.27,12.4
2026-05-01 09:00:13,52.40113,-1.498372,124.1,16.21,94.5,16,1.05,-72.0,2.65,-0.07,0.03,6.43,12.1
