timestamp,latitude,longitude,altitude_m,speed_ms,battery_pct,gps_satellites,hdop,signal_dbm,pitch_deg,roll_deg,yaw_deg,wind_speed_ms,temperature_c
2026-05-01 09:00:00,52.40005,-1.499922,116.2,16.56,94.4,16,1.04,-60.6,2.74,-1.74,359.97,2.73,10.0
2026-05-01 09:00:01,52.400086,-1.499922,118.3,15.97,94.6,15,1.33,-66.6,2.49,2.11,359.58,3.67,12.5
2026-05-01 09:00:02,52.400265,-1.499815,119.2,15.62,94.4,14,1.18,-58.7,1.91,-1.23,357.26,3.0,12.5
2026-05-01 09:00:03,52.400453,-1.4996,123.8,18.62,94.6,17,1.13,-59.3,2.25,4.45,359.56,5.94,11.4
2026-05-01 09:00:04,52.400377,-1.499483,121.1,17.68,94.7,14,1.21,-64.5,1.1,2.2,0.28,4.27,12.1
2026-05-01 09:00:05,52.400477,-1.499378,117.3,18.57,95.2,12,1.6,-67.3,2.92,-1.19,359.34,6.77,9.5
2026-05-01 09:00:06,52.400758,-1.49913,121.0,19.04,94.6,11,1.37,-69.9,0.04,0.03,2.09,4.61,12.7
2026-05-01 09:00:07,52.400777,-1.498971,116.9,18.4,93.9,15,1.37,-65.2,2.28,1.13,2.68,0.38,12.2
2026-05-01 09:00:08,52.400754,-1.498924,122.2,18.99,95.2,17,1.27,-62.2,2.84,1.18,0.8,5.58,12.0
2026-05-01 09:00:09,52.400955,-1.498651,119.1,17.9,94.2,15,1.22,-66.6,1.7,0.66,1.54,1.74,12.0
2026-05-01 09:00:10,52.400954,-1.49878,119.8,16.22,94.5,13,0.84,-76.0,2.56,1.88,356.88,4.35,12.5
2026-05-01 09:00:11,52.401054,-1.498552,122.7,19.59,94.7,10,1.1,-58.7,0.51,-0.18,0.48,2.84,12.0
2026-05-01 09:00:12,52.401225,-1.498471,117.4,17.12,94.5,14,1.13,-64.0,0.55,-0.55,3.45,7.21,10.1
2026-05-01 09:00:13,52.40111,-1.498452,117.2,16.6,94.9,15,0.92,-66.9,2.36,-0.52,0.71,6.16,14.2
2026-05-01 09:00:14,52.401228,-1.49814,118.8,17.73,94.6,15,1.03,-60.7,3.02,1.29,0.21,2.89,13.2
2026-05-01 09:00:15,52.401445,-1.498011,122.1,16.63,93.9,16,0.9,-57.4,-0.81,0.55,6.36,3.81,10.7
2026-05-01 09:00:16,52.4015,-1.497714,117.0,17.37,95.3,16,1.19,-79.0,2.78,0.44,5.56,4.37,11.7
2026-05-01 09:00:17,52.401733,-1.497669,114.3,18.52,94.3,15,1.32,-62.8,1.19,1.19,2.98,5.3,11.8
2026-05-01 09:00:18,52.40171,-1.497701,119.1,18.52,94.1,11,1.37,-72.1,1.71,-3.08,4.44,4.04,13.1
2026-05-01 09:00:19,52.40176,-1.49728,121.1,16.65,94.6,10,1.26,-62.5,-0.01,0.47,357.83,2.46,9.8
2026-05-01 09:00:20,52.402148,-1.497209,122.4,17.27,94.2,15,1.06,-64.4,0.72,0.33,0.83,2.92,11.5
2026-05-01 09:00:21,52.402079,-1.49714,119.1,19.61,94.2,12,0.91,-61.8,3.45,2.5,1.58,3.99,10.2
2026-05-01 09:00:22,52.402208,-1.497087,119.2,18.74,95.2,14,0.94,-67.5,2.05,-2.29,2.17,5.85,11.7
2026-05-01 09:00:23,52.402159,-1.497027,122.3,21.11,93.8,13,1.01,-74.4,1.43,2.34,1.78,4.64,11.5
2026-05-01 09:00:24,52.402347,-1.496835,116.3,19.77,93.7,16,1.07,-67.3,1.83,0.11,357.78,2.84,12.1
2026-05-01 09:00:25,52.402513,-1.496556,119.2,19.72,93.9,12,1.18,-63.0,2.73,0.73,3.77,4.97,11.4
2026-05-01 09:00:26,52.402487,-1.496343,120.4,15.92,94.3,14,1.05,-59.9,2.66,2.51,4.21,3.42,11.2
2026-05-01 09:00:27,52.402739,-1.496243,120.9,19.15,93.0,17,1.25,-70.9,1.89,0.84,6.45,5.34,12.6
2026-05-01 09:00:28,52.402742,-1.496313,119.0,17.92,92.7,16,1.17,-59.9,3.64,0.6,1.79,7.79,12.5
2026-05-01 09:00:29,52.402873,-1.496243,120.1,17.17,93.4,11,1.2,-68.2,3.46,0.36,1.74,3.46,12.6
2026-05-01 09:00:30,52.402942,-1.495983,115.0,18.25,92.8,16,1.37,-63.2,2.62,-0.73,358.24,5.2,11.8
2026-05-01 09:00:31,52.403287,-1.496041,118.7,19.42,93.3,10,1.02,-67.5,2.08,-0.04,3.14,2.88,11.4
2026-05-01 09:00:32,52.403201,-1.495698,120.9,18.75,93.8,10,1.26,-64.1,2.99,-1.07,5.64,3.83,11.9
2026-05-01 09:00:33,52.403196,-1.495612,118.0,16.68,93.0,14,1.2,-60.5,2.47,-0.07,2.74,4.04,12.5
2026-05-01 09:00:34,52.403485,-1.49551,120.1,19.11,92.7,12,1.15,-71.1,3.59,-3.5,8.37,3.71,9.8
2026-05-01 09:00:35,52.40338,-1.49549,120.9,17.04,93.4,13,1.33,-68.4,3.35,0.64,3.69,7.69,12.4
2026-05-01 09:00:36,52.403623,-1.495145,119.3,18.33,93.8,11,1.33,-64.1,0.47,-0.18,4.62,3.54,12.3
2026-05-01 09:00:37,52.403507,-1.495117,120.3,17.54,92.4,14,1.06,-53.0,0.37,-0.5,1.72,4.88,12.1
2026-05-01 09:00:38,52.40367,-1.495047,118.1,17.67,93.6,17,1.17,-69.3,0.95,0.33,5.14,1.1,11.9
2026-05-01 09:00:39,52.403922,-1.495084,119.6,19.15,93.6,11,1.24,-54.8,3.46,-2.15,0.72,4.65,9.4
2026-05-01 09:00:40,52.404077,-1.494666,121.2,16.44,93.6,10,1.16,-55.0,-0.36,2.89,6.19,5.71,11.6
2026-05-01 09:00:41,52.40412,-1.494352,120.3,20.92,93.7,15,1.29,-65.5,2.59,-0.15,6.37,3.21,13.8
2026-05-01 09:00:42,52.404191,-1.49423,118.8,15.27,94.1,15,1.24,-66.5,2.54,-0.22,7.76,0.23,12.0
2026-05-01 09:00:43,52.404273,-1.494309,120.4,17.1,92.8,13,1.47,-68.5,3.74,-1.45,3.12,3.94,11.7
2026-05-01 09:00:44,52.404255,-1.49419,121.4,18.56,93.0,11,0.97,-65.3,2.27,0.04,5.6,4.03,12.0
2026-05-01 09:00:45,52.404431,-1.493949,115.9,18.88,92.7,14,1.18,-72.0,-0.01,2.08,6.53,5.09,12.4
2026-05-01 09:00:46,52.404557,-1.493962,122.3,17.85,92.9,13,1.06,-65.4,0.56,1.55,6.41,7.02,12.7
